DateTime,AddedIPs,RemovedIPs
1530988210,0,759
1530988808,30,32
1530989122,93,108
1530990736,25,19
1530990845,124,113
1530992669,272,21
1530993652,84,381
1530994585,248,117
1530996507,103,142
1530997239,110,0
1530998421,110,150
1530999938,90,114
1531000352,18,25
1531001732,137,364
1531002253,22,22
1531002606,299,0
1531003326,89,227
1531005413,912,62
1531007311,16,11
1531008930,0,508
1531009224,293,373
1531010526,127,146
1531011147,17,20
1531011367,33,0
1531013072,10,9
1531013433,85,125
1531014970,19,11
1531015811,150,332
1531016903,12,14
1531017727,123,217
1531018829,15,19
1531019746,121,103
1531020755,62,15
1531022674,119,197
1531023339,116,142
1531024818,22,28
1531025134,85,174
1531026744,14,15
1531027211,130,62
1531027686,25,0
1531028660,14,27
1531029010,90,137
1531030587,26,33
1531030878,182,151
1531032502,117,186
1531033507,117,198
1531034426,17,24
1531034886,88,0
1531036343,16,13
1531037745,88,245
1531038266,133,78
1531039210,82,150
1531040176,10,22
1531040710,99,188
1531042091,14,25
1531042926,185,152
1531044045,90,829
1531046186,175,113
1531047306,116,106
1531048118,332,0
1531050022,84,124
1531051944,94,231
1531052127,655,63
1531053857,98,173
1531055792,108,107
1531057697,93,93
1531060232,122,144
1531060927,129,136
1531062263,20,13
1531062846,124,79
1531064305,22,12
1531064525,91,123
1531066442,27,7
1531066540,60,142
1531068376,101,15
1531068610,50,120
1531069244,12,0
1531070296,99,100
1531072463,111,268
1531072858,0,496
1531073735,150,83
1531074487,10,14
1531076490,92,175
1531076533,73,125
1531078335,13,9
1531078927,139,191
1531080269,12,15
1531080935,252,0
1531081272,88,81
1531082181,19,21
1531082526,61,174
1531084340,12,18
1531084538,131,113
1531085440,253,0
1531086250,20,14
1531086967,128,200
1531088806,47,131
1531089905,56,170
1531090825,315,0
1531091741,135,226
1531092011,113,0
1531092739,22,15
1531093334,56,151
1531094167,39,0
1531094660,15,11
1531096248,290,129
1531096569,15,11
1531097767,110,231
1531098851,19,20
1531098907,43,119
1531099686,41,0
1531100660,74,211
1531102574,106,106
1531103404,54,0
1531105004,19,16
1531105259,81,183
1531106142,130,98
1531106891,8,12
1531107970,72,242
1531108826,16,9
1531109751,49,0
1531110382,66,75
1531110996,83,12
1531111329,63,164
1531112166,38,0
1531112909,11,22
1531113356,54,191
1531114826,12,18
1531115153,58,136
1531116748,119,165
1531118667,81,182
1531119185,55,73
1531120581,20,14
1531122494,78,109
1531124151,108,193
1531124418,119,146
1531126368,137,148
1531126572,70,43
1531127753,61,106
1531128260,14,12
1531128786,73,165
1531130178,18,14
1531130817,179,114
1531132100,29,864
1531132210,126,129
1531134025,368,0
1531134057,111,43
1531135957,202,95
1531137373,139,191
1531138108,19,28
1531138541,0,255
1531139406,95,100
1531140028,178,156
1531141943,150,149
1531143863,136,15
1531144102,122,247
1531145790,24,13
1531146609,108,332
1531147708,129,549
1531148554,62,323
1531149632,25,13
1531150238,124,178
1531151545,24,17
1531152398,134,165
1531153467,75,268
1531154531,115,207
1531155368,31,16
1531157293,177,124
1531158358,88,136
1531159236,24,16
1531160143,115,393
1531161390,96,11
1531161906,1509,0
1531163296,71,194
1531163646,107,111
1531165465,19,13
1531166166,161,179
1531167380,23,9
1531167687,254,0
1531168204,71,97
1531169807,163,139
1531170044,67,0
1531170942,0,252
1531171704,106,118
1531172106,66,119
1531173635,13,19
1531173930,158,155
1531175534,16,20
1531175818,344,174
1531177466,343,0
1531177511,147,121
1531179616,104,39
1531179729,123,198
1531181532,11,21
1531182652,416,309
1531183463,124,102
1531184423,68,90
1531185386,60,24
1531187300,98,150
1531188611,102,122
1531189225,20,13
1531191138,66,15
1531191657,70,151
1531193065,12,12
1531193445,90,74
1531194972,90,200
1531195806,91,99
1531196902,13,15
1531197938,66,0
1531198829,23,16
1531198840,96,140
1531199749,80,140
1531200743,50,11
1531202107,133,224
1531202905,14,17
1531204237,66,75
1531204817,16,8
1531206054,97,167
1531206732,20,23
1531206956,57,97
1531207686,126,3
1531208663,17,11
1531209192,107,152
1531210588,19,9
1531211407,72,80
1531212497,7,12
1531213268,156,171
1531214149,52,119
1531214408,17,11
1531215726,80,211
1531216342,13,23
1531217410,159,111
1531218255,26,795
1531218652,146,103
1531220181,35,23
1531220459,111,0
1531222092,508,133
1531222934,154,117
1531224077,112,20
1531225934,107,68
1531226327,157,84
1531228104,31,23
1531228550,149,112
1531230036,27,28
1531230364,74,114
1531231955,118,52
1531232145,84,105
1531232886,39,0
1531233873,33,11
1531234205,77,121
1531234845,30,59
1531235795,90,13
1531237701,80,142
1531238166,83,0
1531239623,1148,95
1531241551,111,118
1531242933,120,159
1531243471,18,10
1531243686,101,1
1531244527,56,154
1531245375,27,21
1531246539,180,45
1531247305,23,12
1531247745,76,1767
1531249222,33,13
1531249245,105,144
1531250104,75,65
1531251144,80,23
1531251961,62,101
1531253061,107,18
1531253730,0,254
1531254997,197,219
1531255534,59,44
1531256166,65,0
1531256911,28,20
1531257327,89,65
1531258086,49,0
1531258828,36,13
1531259157,33,121
1531260747,19,22
1531262659,154,404
1531263372,87,0
1531264581,375,0
1531266497,119,104
1531267237,183,111
1531268448,30,15
1531269355,119,71
1531270336,14,12
1531270566,119,124
1531272262,11,21
1531273326,190,207
1531274174,16,29
1531275350,120,112
1531276090,16,11
1531277111,156,96
1531278020,18,18
1531279932,89,107
1531281862,197,132
1531282206,103,106
1531283293,83,0
1531283768,20,19
1531284126,59,132
1531285726,11,10
1531286046,168,58
1531287668,19,18
1531287727,159,114
1531289544,17,17
1531289645,138,47
1531290606,79,0
1531291469,11,13
1531291807,97,118
1531293403,18,22
1531295306,229,187
1531296099,61,125
1531297218,21,19
1531297685,121,2
1531299149,14,31
1531299664,103,116
1531301060,139,155
1531302983,129,158
1531304133,101,45
1531304895,121,986
1531305940,103,245
1531306835,373,0
1531307743,127,95
1531308759,63,14
1531309326,42,272
1531310683,11,13
1531311246,161,56
1531312584,17,18
1531312927,130,129
1531313766,80,0
1531314500,21,16
1531316430,125,166
1531316745,150,166
1531317373,62,0
1531318356,16,21
1531319407,112,59
1531320257,11,11
1531320607,85,170
1531322184,27,16
1531322986,141,166
1531324103,63,13
1531324566,59,0
1531325646,105,631
1531326254,39,15
1531326658,0,760
1531327326,112,120
1531328186,47,22
1531328449,43,0
1531330094,93,160
1531330926,107,114
1531332025,26,14
1531332924,362,69
1531333954,75,267
1531335012,106,176
1531335865,16,12
1531336206,93,55
1531337811,15,25
1531338329,85,0
1531339721,133,146
1531340887,113,67
1531341618,23,17
1531342842,87,136
1531343544,19,13
1531343708,75,80
1531344486,33,0
1531345464,12,10
1531345807,46,131
1531347655,97,489
1531349533,55,24
1531350057,107,256
1531351457,344,0
1531352761,187,318
1531353371,20,13
1531354452,169,67
1531355302,13,13
1531355436,603,0
1531357234,157,111
1531358139,123,102
1531359151,17,11
1531361073,294,119
1531362487,127,85
1531362986,10,13
1531363341,65,140
1531364167,41,0
1531364899,13,11
1531365338,8,64
1531365607,96,0
1531366825,15,13
1531367137,84,97
1531368737,130,116
1531368845,37,2
1531370658,20,14
1531370734,76,139
1531372603,143,130
1531374501,108,130
1531375812,101,102
1531376425,16,20
1531377311,74,165
1531378357,17,10
1531378506,100,46
1531380261,13,14
1531380486,132,117
1531382173,16,24
1531383340,118,139
1531384110,96,123
1531384360,93,99
1531385105,57,0
1531386036,81,21
1531386936,133,135
1531387938,18,10
1531388526,151,229
1531389884,64,962
1531391772,155,95
1531392305,113,145
1531393718,392,1
1531394150,212,179
1531395624,34,25
1531395950,226,204
1531397564,19,27
1531397750,136,71
1531398486,51,0
1531399469,35,20
1531400166,126,143
1531401388,96,87
1531403307,125,94
1531403766,46,0
1531405233,27,22
1531405879,166,103
1531407136,16,15
1531408540,122,203
1531409075,11,9
1531410340,174,117
1531410975,26,13
1531412913,1175,139
1531414831,174,161
1531416738,110,129
1531417526,85,116
1531418668,26,15
1531418784,168,99
1531419338,42,1
1531420576,13,15
1531420926,118,106
1531422743,22,13
1531422934,91,171
1531424677,117,200
1531425306,93,47
1531426585,139,128
1531427285,49,0
1531428133,85,109
1531428500,22,14
1531428966,78,0
1531430426,12,14
1531432346,162,220
1531434770,172,222
1531436660,381,186
1531437308,130,99
1531438584,29,25
1531438927,136,125
1531440504,5,28
1531440941,113,113
1531441686,51,0
1531442414,241,14
1531442526,52,201
1531443369,41,1
