DateTime,Entries,UniqueIPs
1530993157,6025,6025
1530995084,4963,4963
1530996994,1349,1349
1530998907,1356,1356
1531000933,1362,1362
1531002771,1370,1370
1531004927,1354,1354
1531006842,1360,1360
1531008996,1353,1353
1531011176,1365,1365
1531013100,1366,1366
1531014987,1362,1362
1531016929,1344,1344
1531018917,1339,1339
1531020777,1337,1337
1531022697,1334,1334
1531024854,1333,1333
1531026772,1329,1329
1531028699,1324,1324
1531030612,1317,1317
1531032518,1322,1322
1531034451,1320,1320
1531036367,1325,1325
1531038283,1331,1331
1531040205,1330,1330
1531042110,1337,1337
1531044106,1332,1332
1531046205,1316,1316
1531048139,1304,1304
1531050043,1309,1309
1531051956,1310,1310
1531053870,1300,1300
1531055814,1301,1301
1531057710,1294,1294
1531060263,1291,1291
1531062101,1288,1288
1531064318,1289,1289
1531066463,1287,1287
1531068401,1270,1270
1531070316,1268,1268
1531072487,1252,1252
1531074499,1243,1243
1531076519,1246,1246
1531078355,1252,1252
1531080282,1255,1255
1531082194,1241,1241
1531084352,1236,1236
1531086262,1222,1222
1531088450,1207,1207
1531090354,1200,1200
1531092277,1187,1187
1531094529,1188,1188
1531096371,1170,1170
1531098292,1149,1149
1531100428,1145,1145
1531102349,1130,1130
1531104627,1118,1118
1531106443,1122,1122
1531108362,1109,1109
1531110516,1096,1096
1531112512,1092,1092
1531114354,1083,1083
1531116287,1080,1080
1531118195,1065,1065
1531120128,1059,1059
1531122028,1068,1068
1531123947,1060,1060
1531125888,1050,1050
1531127807,1039,1039
1531129734,1034,1034
1531131721,1034,1034
1531133556,1029,1029
1531135463,1029,1029
1531137392,1019,1019
1531139556,1009,1009
1531141501,1005,1005
1531143387,1005,1005
1531145320,995,995
1531147240,986,986
1531149181,1150,1150
1531151101,4620,4620
1531152997,5695,5695
1531154922,5693,5693
1531156829,5686,5686
1531158755,5689,5689
1531160672,5691,5691
1531162582,5690,5690
1531164520,5698,5698
1531166504,5696,5696
1531169418,5722,5722
