DateTime,Entries,UniqueIPs
1531066922,8900,9063
1531067522,8892,9056
1531068122,8885,9048
1531068722,8889,9052
1531069322,8889,9052
1531069921,8885,9048
1531070522,8888,9051
1531071722,8907,9070
1531072922,8907,9068
1531074121,8911,9073
1531074721,8913,9075
1531075323,8918,9080
1531075921,8911,9072
1531076522,8908,9069
1531077122,8901,9062
1531077722,8892,9053
1531078922,8883,9044
1531080122,8871,9032
1531081322,8865,9026
1531081922,8856,9016
1531082522,8850,9009
1531083722,8852,9011
1531084922,8845,9004
1531086121,8839,8997
1531088522,8792,8951
1531089122,8796,8955
1531089722,8796,8954
1531090922,8786,8944
1531091522,8795,8954
1531092121,8795,8954
1531092722,8799,8958
1531093321,8804,8964
1531094522,8799,8958
1531095722,8782,8941
1531096322,8770,8929
1531096922,8763,8922
1531097522,8768,8927
1531098121,8763,8920
1531098722,8770,8927
1531099322,8774,8931
1531099921,8767,8924
1531100522,8761,8917
1531101722,8766,8922
1531102921,8744,8900
1531104122,8728,8883
1531104721,8740,8895
1531105322,8733,8888
1531105922,8737,8892
1531106522,8725,8880
1531107722,8719,8873
1531108921,8706,8860
1531109522,8712,8866
1531110122,8705,8859
1531110722,8698,8852
1531111322,8680,8834
1531112522,8673,8827
1531113721,8665,8817
1531114922,8659,8811
1531115522,8658,8810
1531116122,8648,8799
1531117322,8634,8785
1531117921,8629,8780
1531118521,8624,8776
1531119721,8630,8782
1531120322,8622,8774
1531120922,8617,8768
1531121522,8619,8769
1531122121,8620,8770
1531122722,8619,8769
1531123322,8616,8766
1531124522,8618,8768
1531125122,8610,8760
1531125722,8618,8768
1531126922,8614,8764
1531127522,8590,8740
1531128122,8580,8731
1531129322,8584,8735
1531129922,8564,8715
1531130521,8554,8703
1531131122,8555,8704
1531131722,8556,8705
1531132322,8555,8703
1531132922,8553,8701
1531134121,8539,8684
1531135322,8538,8683
1531136521,8545,8690
1531137721,8544,8688
1531138322,8561,8705
1531138922,8566,8709
1531139521,8569,8712
1531140122,8575,8718
1531141322,8574,8716
1531141921,8572,8714
1531142522,8575,8718
1531143721,8586,8729
1531144922,8599,8742
1531145522,8604,8747
1531146121,8605,8748
1531146722,8612,8755
1531147322,8613,8756
1531147922,8614,8757
1531148522,8615,8758
1531149122,8616,8759
1531149722,8611,8754
1531150322,8608,8751
1531150921,8600,8743
1531151521,8601,8744
1531152122,8593,8736
1531152722,8590,8736
1531153321,8593,8740
1531153921,8597,8744
1531154522,8595,8742
1531155722,8591,8738
1531156922,8588,8734
1531158121,8599,8746
1531158722,8603,8750
1531159322,8601,8748
1531159921,8611,8758
1531160522,8614,8761
1531161122,8615,8763
1531161721,8618,8766
1531162922,8622,8770
1531164122,8620,8768
1531164722,8617,8765
1531165322,8614,8761
1531165922,8618,8765
1531166521,8615,8762
1531167122,8616,8763
1531167722,8616,8763
1531169521,8618,8765
1531170122,8615,8762
1531170722,8623,8770
1531171321,8633,8780
1531171921,8638,8784
1531172522,8642,8788
1531173721,8638,8781
1531174322,8627,8770
1531174922,8622,8765
1531176122,8628,8771
1531177322,8644,8787
1531177922,8650,8793
1531178522,8645,8788
1531179721,8653,8796
1531180321,8656,8799
1531180922,8653,8796
1531182122,8659,8802
1531182722,8652,8795
1531183322,8655,8798
1531184521,8654,8798
1531185122,8653,8797
1531185722,8657,8801
1531186322,8662,8807
1531186922,8665,8810
1531187522,8662,8807
1531188122,8664,8809
1531189322,8665,8810
1531189922,8668,8813
1531190522,8669,8814
1531191721,8660,8805
1531192322,8662,8807
1531192922,8664,8809
1531193522,8667,8812
1531194122,8662,8807
1531194721,8664,8810
1531195322,8662,8808
1531196522,8657,8802
1531197123,8650,8795
1531197722,8652,8797
1531198322,8654,8799
1531198922,8666,8811
1531200122,8669,8814
1531200722,8671,8816
1531201322,8666,8811
1531202521,8662,8807
1531203122,8657,8802
1531203723,8655,8800
1531204922,8656,8801
