DateTime,AddedIPs,RemovedIPs
1531184931,22,9
1531186851,5,2
1531188793,7,13
1531190686,4,3
1531192592,9,23
1531194508,0,2
1531196423,8,16
1531198576,4,1
1531200493,15,12
1531202490,3,1
1531204356,16,11
1531206260,14,17
1531208177,2,0
1531210104,18,23
1531212029,2,1
1531213951,24,12
1531215854,5,2
1531217796,12,20
1531219695,1,3
1531221627,12,27
1531223611,3,6
1531225470,16,20
1531227370,4,2
1531229564,18,25
1531231472,19,18
1531233388,3,5
1531235309,27,22
1531237238,3,4
1531239195,23,18
1531241085,1,4
1531242991,13,24
1531244899,4,8
1531246815,17,25
1531248749,3,10
1531250726,11,20
1531252617,4,3
1531254504,19,26
1531257388,22,15
1531259305,6,7
1531261216,20,19
1531263158,5,5
1531265113,18,15
1531266987,0,12
1531268913,95,14
1531270868,0,3
1531272736,11,22
1531274667,15,5
1531276827,4,3
1531278736,21,9
1531280660,8,0
1531282598,12,12
1531284495,3,1
1531286407,24,17
1531288591,4,3
1531290495,16,17
1531292464,7,3
1531294348,20,10
1531296264,12,20
1531298195,6,2
1531300126,18,23
1531302017,3,4
1531303959,13,12
1531305945,3,1
1531307801,11,9
1531309695,4,3
1531311632,14,18
1531313551,3,3
1531315473,13,14
1531317391,2,5
1531319316,27,15
1531321270,6,5
1531323146,15,26
1531325367,15,22
1531327211,3,2
1531329150,12,17
1531331068,7,3
1531332977,22,22
1531334896,1,5
1531336826,16,8
1531338734,2,2
1531340677,17,22
1531342582,6,2
1531344513,11,27
1531347372,14,22
1531349302,4,5
1531351207,15,18
1531353151,4,0
1531355050,12,12
1531357263,3,86
1531359164,14,11
1531361099,14,15
1531363000,3,3
1531364905,14,20
1531366849,6,7
1531368744,21,18
1531370682,6,2
1531372634,27,22
1531374508,11,3
1531376441,13,17
1531378405,10,6
1531380275,17,18
1531382185,7,4
1531384123,9,16
1531386990,19,18
1531388918,3,3
1531390839,15,12
1531392763,4,2
1531394677,11,8
1531396595,0,5
1531398514,17,15
1531401401,25,12
1531403313,1,5
1531405242,17,23
1531407149,3,7
1531409088,20,16
1531410988,3,2
1531412926,18,14
1531415787,236,12
1531417977,3,8
1531419863,364,16
1531421772,7,2
1531423710,138,17
1531425634,4,0
1531427560,15,21
1531429464,20,15
1531431372,6,2
1531434399,10,18
1531436200,4,3
1531438088,15,18
1531440999,11,15
1531442908,3,3
1531444830,19,13
1531446739,3,3
1531448649,12,12
1531451777,12,17
1531453706,2,6
1531455634,21,22
1531457552,1,10
1531459484,22,24
1531462606,18,24
1531464498,3,10
1531466430,14,11
1531468360,2,6
1531470260,17,13
1531472192,3,8
1531474107,16,13
1531476093,3,2
