DateTime,Entries,UniqueIPs
1530991216,4088,4088
1530993147,4089,4089
1530995073,4091,4091
1530996982,4096,4096
1530998895,4122,4122
1531000921,4137,4137
1531002761,4149,4149
1531004916,4148,4148
1531006832,4133,4133
1531008985,4129,4129
1531011165,4131,4131
1531013089,4131,4131
1531014977,4124,4124
1531016920,4143,4143
1531018895,4141,4141
1531020767,4137,4137
1531022687,4107,4107
1531024843,4097,4097
1531026760,4099,4099
1531028689,3673,3673
1531030603,3671,3671
1531032509,3781,3781
1531034442,3786,3786
1531036358,3933,3933
1531038274,4174,4174
1531040196,4173,4173
1531042099,4174,4174
1531044095,4179,4179
1531046195,4191,4191
1531048130,4197,4197
1531050034,4199,4199
1531051948,4229,4229
1531053861,4234,4234
1531055804,4254,4254
1531057701,4288,4288
1531060252,4290,4290
1531062280,4103,4103
1531064309,3509,3509
1531066453,3509,3509
1531068392,3505,3505
1531070308,3505,3505
1531072475,3507,3507
1531074490,3511,3511
1531076510,3649,3649
1531078346,4544,4544
1531080273,4545,4545
1531082185,4541,4541
1531084345,4539,4539
1531086254,4526,4526
1531088440,4525,4525
1531090346,4519,4519
1531092268,4516,4516
1531094517,4519,4519
1531096361,4517,4517
1531098282,4518,4518
1531100419,4519,4519
1531102340,4520,4520
1531105466,4518,4518
1531107374,4517,4517
1531109322,4513,4513
1531111494,4487,4487
1531113409,4486,4486
1531115309,4470,4470
1531117224,4470,4470
1531119145,5080,5080
1531121069,5079,5079
1531122994,4934,4934
1531124895,4714,4714
1531126897,4719,4719
1531128742,4719,4719
1531130676,4734,4734
1531132586,4722,4722
1531134524,4717,4717
1531136417,4716,4716
1531138592,4683,4683
1531140504,4681,4681
1531142436,4650,4650
1531144412,4616,4616
1531146278,4615,4615
1531148197,4609,4609
1531150100,4710,4710
1531152094,4712,4712
1531153951,4715,4715
1531155881,4617,4617
1531157839,4617,4617
1531159897,4614,4614
1531161877,4612,4612
1531163797,3887,3887
1531166001,3886,3886
1531167882,3885,3885
1531169838,3887,3887
1531171712,3897,3897
1531173670,3887,3887
1531175546,3905,3905
1531177470,3906,3906
1531179623,3901,3901
1531181538,3900,3900
1531183506,3899,3899
1531185439,3898,3898
1531187313,3898,3898
1531189239,3903,3903
1531192594,3904,3904
1531194510,3906,3906
1531196425,3908,3908
1531198578,3905,3905
1531200495,2684,2684
1531202502,1883,1883
1531204359,1188,1188
1531206263,872,872
1531208180,872,872
1531210106,877,877
1531212031,901,901
1531213953,901,901
1531215856,904,904
1531217799,883,883
1531219697,889,889
1531221629,895,895
1531223613,903,903
1531225472,904,904
1531227372,902,902
1531229567,928,928
1531231474,928,928
1531233390,931,931
1531235311,931,931
1531237240,902,902
1531239197,1803,1803
1531241087,2016,2016
1531242993,2013,2013
1531244901,2014,2014
1531246817,2015,2015
1531248751,2015,2015
1531250728,2016,2016
1531252619,2056,2056
1531254507,2056,2056
1531256499,2057,2057
1531258354,2024,2024
1531260286,2019,2019
1531262197,2017,2017
1531264130,2015,2015
1531266019,2013,2013
1531267970,2010,2010
1531269856,2009,2009
1531271784,2012,2012
1531273712,2015,2015
1531275631,2009,2009
1531277601,2013,2013
1531279456,2014,2014
1531281382,2010,2010
